resultado_id,corrida_id,data_corrida,tipo_evento,nome_evento,circuito_rota,regiao,tipo_rota,piso,distancia_km,voltas,pulseira_minima,nivel_pulseira_minima,piloto,pulseira_piloto,nivel_pulseira_piloto,ano_carro,marca_carro,modelo_carro,classe_carro,tracao,potencia_hp,tempo_total_seg,tempo_formatado,gap_para_vencedor_seg,posicao,vencedor,dnf,pontos,creditos_usd,velocidade_media_kmh,clima,hora_largada,registro_sintetico,fonte_eventos,fonte_carros,fonte_pulseiras
RES-0019,RACE-003,2012-10-22,Festival Race,G-Shock Super Sprint,Clear Springs Run,Clear Springs,Sprint,Asfalto,8.90,1,Yellow,1,Riley Grant,Green,2,2008,BMW,M3,A,RWD,414,191.650,00:03:11.650,1.682,3,FALSE,FALSE,82,4128.00,167.20,Nublado,12:30:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0020,RACE-003,2012-10-22,Festival Race,G-Shock Super Sprint,Clear Springs Run,Clear Springs,Sprint,Asfalto,8.90,1,Yellow,1,Logan Rivera,Green,2,2002,Nissan,Skyline GT-R V-Spec II,A,AWD,327,196.621,00:03:16.621,6.653,4,FALSE,FALSE,73,3792.00,163.00,Seco,12:30:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0021,RACE-003,2012-10-22,Festival Race,G-Shock Super Sprint,Clear Springs Run,Clear Springs,Sprint,Asfalto,8.90,1,Yellow,1,Casey Turner,Blue,3,2010,Lexus,LFA,S,RWD,552,198.863,00:03:18.863,8.896,5,FALSE,FALSE,64,3456.00,161.10,Ensolarado,12:30:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0022,RACE-003,2012-10-22,Festival Race,G-Shock Super Sprint,Clear Springs Run,Clear Springs,Sprint,Asfalto,8.90,1,Yellow,1,Cameron Price,Pink,4,2011,Subaru,Impreza WRX STI,A,AWD,305,204.110,00:03:24.110,14.143,6,FALSE,FALSE,55,3119.00,157.00,Ensolarado,12:30:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0023,RACE-003,2012-10-22,Festival Race,G-Shock Super Sprint,Clear Springs Run,Clear Springs,Sprint,Asfalto,8.90,1,Yellow,1,Morgan Reed,Yellow,1,2011,Ford,F-150 SVT Raptor,B,AWD,411,227.774,00:03:47.774,37.806,7,FALSE,FALSE,46,2784.00,140.70,Nublado,12:30:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0024,RACE-003,2012-10-22,Festival Race,G-Shock Super Sprint,Clear Springs Run,Clear Springs,Sprint,Asfalto,8.90,1,Yellow,1,Jordan Hayes,Blue,3,1983,Audi,Sport quattro,B,AWD,302,239.474,00:03:59.474,49.506,8,FALSE,FALSE,37,2448.00,133.80,Chuva leve,12:30:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0025,RACE-004,2012-10-23,Festival Race,Oakley Blitz,Gladstone Dirt Sprint,Gladstone,Dirt Sprint,Terra,9.40,1,Yellow,1,Casey Turner,Yellow,1,1997,Lamborghini,Diablo SV,S,RWD,510,293.333,00:04:53.333,0.000,1,TRUE,FALSE,100,4800.00,115.40,Seco,13:45:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0026,RACE-004,2012-10-23,Festival Race,Oakley Blitz,Gladstone Dirt Sprint,Gladstone,Dirt Sprint,Terra,9.40,1,Yellow,1,Morgan Reed,Pink,4,2004,Saleen,S7,S,RWD,575,305.334,00:05:05.334,12.001,2,FALSE,FALSE,91,4464.00,110.80,Seco,13:45:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0027,RACE-004,2012-10-23,Festival Race,Oakley Blitz,Gladstone Dirt Sprint,Gladstone,Dirt Sprint,Terra,9.40,1,Yellow,1,Drew Foster,Yellow,1,2011,Audi,R8 GT,S,AWD,560,313.113,00:05:13.113,19.780,3,FALSE,FALSE,82,4128.00,108.10,Vento forte,13:45:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0028,RACE-004,2012-10-23,Festival Race,Oakley Blitz,Gladstone Dirt Sprint,Gladstone,Dirt Sprint,Terra,9.40,1,Yellow,1,Riley Grant,Yellow,1,2010,Ferrari,458 Italia,S,RWD,562,327.266,00:05:27.266,33.932,4,FALSE,FALSE,73,3792.00,103.40,Ensolarado,13:45:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0029,RACE-004,2012-10-23,Festival Race,Oakley Blitz,Gladstone Dirt Sprint,Gladstone,Dirt Sprint,Terra,9.40,1,Yellow,1,Logan Rivera,Yellow,1,2012,Dodge,Challenger SRT8 392,A,RWD,470,338.176,00:05:38.176,44.843,5,FALSE,FALSE,64,3456.00,100.10,Ensolarado,13:45:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0030,RACE-004,2012-10-23,Festival Race,Oakley Blitz,Gladstone Dirt Sprint,Gladstone,Dirt Sprint,Terra,9.40,1,Yellow,1,Reese Morgan,Yellow,1,1985,Ford,RS200 Evolution,A,AWD,450,341.819,00:05:41.819,48.486,6,FALSE,FALSE,55,3119.00,99.00,Ensolarado,13:45:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0031,RACE-004,2012-10-23,Festival Race,Oakley Blitz,Gladstone Dirt Sprint,Gladstone,Dirt Sprint,Terra,9.40,1,Yellow,1,Jordan Hayes,Blue,3,1998,Toyota,Supra RZ,B,RWD,320,378.059,00:06:18.059,84.725,7,FALSE,FALSE,46,2784.00,89.50,Vento forte,13:45:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0032,RACE-004,2012-10-23,Festival Race,Oakley Blitz,Gladstone Dirt Sprint,Gladstone,Dirt Sprint,Terra,9.40,1,Yellow,1,Taylor Brooks,Green,2,1970,Ford,Mustang Boss 429,B,RWD,375,388.452,00:06:28.452,95.119,8,FALSE,FALSE,37,2448.00,87.10,Seco,13:45:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0033,RACE-005,2012-10-24,Festival Race,Fatlace Hot Hatch Hustle,Carson Sprint Circuit,Carson,Circuit,Asfalto,6.10,3,Green,2,Reese Morgan,Blue,3,2013,Dodge,Viper GTS,S,RWD,640,617.075,00:10:17.075,0.000,1,TRUE,FALSE,110,6600.00,106.80,Vento forte,14:00:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0034,RACE-005,2012-10-24,Festival Race,Fatlace Hot Hatch Hustle,Carson Sprint Circuit,Carson,Circuit,Asfalto,6.10,3,Green,2,Avery Scott,Pink,4,2012,Lamborghini,Aventador LP700-4,S,AWD,700,627.724,00:10:27.724,10.649,2,FALSE,FALSE,100,6138.00,105.00,Ensolarado,14:00:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0035,RACE-005,2012-10-24,Festival Race,Fatlace Hot Hatch Hustle,Carson Sprint Circuit,Carson,Circuit,Asfalto,6.10,3,Green,2,Cameron Price,Orange,5,2005,Ford,GT,S,RWD,550,681.416,00:11:21.416,64.341,3,FALSE,FALSE,90,5676.00,96.70,Ensolarado,14:00:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0036,RACE-005,2012-10-24,Festival Race,Fatlace Hot Hatch Hustle,Carson Sprint Circuit,Carson,Circuit,Asfalto,6.10,3,Green,2,Riley Grant,Blue,3,2008,BMW,M3,A,RWD,414,701.150,00:11:41.150,84.074,4,FALSE,FALSE,80,5214.00,94.00,Seco,14:00:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0037,RACE-005,2012-10-24,Festival Race,Fatlace Hot Hatch Hustle,Carson Sprint Circuit,Carson,Circuit,Asfalto,6.10,3,Green,2,Peyton Hughes,Orange,5,2012,Nissan,GT-R Black Edition,A,AWD,530,751.362,00:12:31.362,134.286,5,FALSE,FALSE,70,4752.00,87.70,Seco,14:00:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0038,RACE-005,2012-10-24,Festival Race,Fatlace Hot Hatch Hustle,Carson Sprint Circuit,Carson,Circuit,Asfalto,6.10,3,Green,2,Alex Mercer,Green,2,2002,Nissan,Skyline GT-R V-Spec II,A,AWD,327,762.712,00:12:42.712,145.636,6,FALSE,FALSE,60,4289.00,86.40,Vento forte,14:00:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0039,RACE-005,2012-10-24,Festival Race,Fatlace Hot Hatch Hustle,Carson Sprint Circuit,Carson,Circuit,Asfalto,6.10,3,Green,2,Harper Diaz,Blue,3,1983,Audi,Sport quattro,B,AWD,302,783.588,00:13:03.588,166.512,7,FALSE,FALSE,50,3827.00,84.10,Vento forte,14:00:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0040,RACE-005,2012-10-24,Festival Race,Fatlace Hot Hatch Hustle,Carson Sprint Circuit,Carson,Circuit,Asfalto,6.10,3,Green,2,Drew Foster,Pink,4,2010,Lexus,LFA,S,RWD,552,1064.479,00:17:44.479,447.403,8,FALSE,TRUE,40,3366.00,61.90,Vento forte,14:00:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0041,RACE-006,2012-10-25,Festival Race,Brembo Midnight Blast,Main Stage Run,Main Stage,Sprint,Asfalto,10.50,1,Green,2,Jamie Cole,Blue,3,2004,Saleen,S7,S,RWD,575,252.371,00:04:12.371,0.000,1,TRUE,FALSE,110,6600.00,149.80,Seco,15:15:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0042,RACE-006,2012-10-25,Festival Race,Brembo Midnight Blast,Main Stage Run,Main Stage,Sprint,Asfalto,10.50,1,Green,2,Taylor Brooks,Green,2,2011,Audi,R8 GT,S,AWD,560,262.662,00:04:22.662,10.291,2,FALSE,FALSE,100,6138.00,143.91,Chuva leve,15:15:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0043,RACE-006,2012-10-25,Festival Race,Brembo Midnight Blast,Main Stage Run,Main Stage,Sprint,Asfalto,10.50,1,Green,2,Cameron Price,Green,2,2008,Mitsubishi,Lancer Evolution X GSR,A,AWD,291,269.603,00:04:29.603,17.232,3,FALSE,FALSE,90,5676.00,140.20,Vento forte,15:15:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0044,RACE-006,2012-10-25,Festival Race,Brembo Midnight Blast,Main Stage Run,Main Stage,Sprint,Asfalto,10.50,1,Green,2,Skyler Bennett,Green,2,2010,Ferrari,458 Italia,S,RWD,562,277.277,00:04:37.277,24.906,4,FALSE,FALSE,80,5214.00,136.30,Nublado,15:15:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0045,RACE-006,2012-10-25,Festival Race,Brembo Midnight Blast,Main Stage Run,Main Stage,Sprint,Asfalto,10.50,1,Green,2,Riley Grant,Green,2,2012,Dodge,Challenger SRT8 392,A,RWD,470,287.392,00:04:47.392,35.021,5,FALSE,FALSE,70,4752.00,131.50,Chuva leve,15:15:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0046,RACE-006,2012-10-25,Festival Race,Brembo Midnight Blast,Main Stage Run,Main Stage,Sprint,Asfalto,10.50,1,Green,2,Alex Mercer,Green,2,1985,Ford,RS200 Evolution,A,AWD,450,299.685,00:04:59.685,47.314,6,FALSE,FALSE,60,4289.00,126.10,Chuva leve,15:15:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0047,RACE-006,2012-10-25,Festival Race,Brembo Midnight Blast,Main Stage Run,Main Stage,Sprint,Asfalto,10.50,1,Green,2,Harper Diaz,Blue,3,2010,Ford,Focus RS500,A,FWD,345,299.921,00:04:59.921,47.550,7,FALSE,FALSE,50,3827.00,126.00,Chuva leve,15:15:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0048,RACE-006,2012-10-25,Festival Race,Brembo Midnight Blast,Main Stage Run,Main Stage,Sprint,Asfalto,10.50,1,Green,2,Drew Foster,Blue,3,1998,Toyota,Supra RZ,B,RWD,320,330.306,00:05:30.306,77.935,8,FALSE,FALSE,40,3366.00,114.40,Vento forte,15:15:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0049,RACE-007,2012-10-26,Festival Race,Illest Eastern Steel,Steelworks Sprint Circuit,Industrial District,Circuit,Asfalto,7.80,3,Green,2,Skyler Bennett,Pink,4,2012,Lamborghini,Aventador LP700-4,S,AWD,700,809.402,00:13:29.402,0.000,1,TRUE,FALSE,110,6600.00,104.10,Nublado,16:30:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0050,RACE-007,2012-10-26,Festival Race,Illest Eastern Steel,Steelworks Sprint Circuit,Industrial District,Circuit,Asfalto,7.80,3,Green,2,Reese Morgan,Green,2,2013,Dodge,Viper GTS,S,RWD,640,810.683,00:13:30.683,1.281,2,FALSE,FALSE,100,6138.00,103.90,Seco,16:30:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0051,RACE-007,2012-10-26,Festival Race,Illest Eastern Steel,Steelworks Sprint Circuit,Industrial District,Circuit,Asfalto,7.80,3,Green,2,Avery Scott,Green,2,2011,Subaru,Impreza WRX STI,A,AWD,305,819.282,00:13:39.282,9.880,3,FALSE,FALSE,90,5676.00,102.80,Nublado,16:30:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
