registro_id,data_evento,dia_festival,regiao,local_evento,area_palco,radio_estacao,artista,faixa_musical,estilo_musical,tipo_apresentacao,horario_inicio,duracao_min,pulseira_cor,nivel_pulseira,categoria_pulseira,capacidade_area,ingressos_emitidos,checkins,convidados,staff,pessoas_na_area,no_show,ocupacao_pct,preco_medio_ingresso_usd,receita_ingressos_usd,consumo_medio_pessoa_usd,receita_alimentos_bebidas_usd,receita_merch_usd,avaliacao_publico_0a10,incidentes_reportados,registro_sintetico,fonte_referencia
MUS-0011,2012-10-22,4,Carson,Carson Street Hub,Palco Urbano,Horizon Bass Arena,Modestep,Show Me A Sign,Dubstep,DJ set,22:30:00,40,Gold,7,Elite/VIP,1710,1589,1387,73,22,1482,202,86.70,141.19,195830.53,36.85,36681.85,12278.69,9.1,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0012,2012-10-23,5,Clear Springs,Clear Springs Park,Palco Pulse,Horizon Bass Arena,Mord Fustang,Lick The Rainbow,Electro House,DJ set,12:45:00,60,Green,2,Rookie,7544,6426,5739,238,60,6037,687,80.00,65.84,377855.76,22.07,78462.26,71602.16,8.7,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0013,2012-10-24,6,Carson,Carson Street Hub,Palco Urbano,Horizon Bass Arena,Mr Magnetik,Remanence (Junior Remix),Electronic,DJ set,13:00:00,40,Pink,4,Intermediate,5985,4330,3963,75,91,4129,367,69.00,100.69,399034.47,38.71,82750.35,36201.56,8.9,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0014,2012-10-25,7,Clear Springs,Clear Springs Park,Palco Pulse,Horizon Bass Arena,Nero,Me & You,Dubstep,DJ set,14:15:00,50,Purple,6,Elite,2460,2083,1898,119,42,2059,185,83.70,124.98,237212.04,38.17,53560.95,12451.79,9.1,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0015,2012-10-19,1,Red Rock,Red Rock Canyon,Palco Canyon,Horizon Bass Arena,Nero,Reaching Out (Fred Falke Remix),Electronic,DJ set,15:30:00,50,Yellow,1,Rookie,7200,5231,5065,81,97,5243,166,72.80,45.10,228431.50,38.74,101082.06,16464.61,9.1,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0016,2012-10-20,2,Finley Dam,Finley Dam Deck,Palco Dam,Horizon Bass Arena,New Order,Blue Monday,New Wave,DJ set,16:45:00,90,Blue,3,Intermediate,3900,3280,3102,121,52,3275,178,84.00,76.40,236992.80,35.06,69136.09,11122.21,8.2,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0017,2012-10-21,3,Red Rock,Red Rock Canyon,Palco Canyon,Horizon Bass Arena,Porter Robinson,Language,Progressive House,DJ set,17:00:00,40,Orange,5,Advanced,3312,2638,2332,41,48,2421,306,73.10,101.85,237514.20,46.57,81197.14,8565.63,8.8,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0018,2012-10-22,4,Finley Dam,Finley Dam Deck,Palco Dam,Horizon Bass Arena,Rusko,Everyday (Netsky VIP Remix),Drum & Bass,DJ set,18:15:00,40,Gold,7,Elite/VIP,900,612,584,22,18,624,28,69.30,135.20,78956.80,54.30,21857.97,1859.89,9.7,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0019,2012-10-23,5,Red Rock,Red Rock Canyon,Palco Canyon,Horizon Bass Arena,Rusko,Somebody to Love (Sigma Remix),Drum & Bass,DJ set,19:30:00,90,Green,2,Rookie,6624,6624,5814,333,64,6211,810,93.80,65.74,382212.36,45.40,211691.20,25241.83,9.1,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0020,2012-10-24,6,Finley Dam,Finley Dam Deck,Palco Dam,Horizon Bass Arena,Scuba,The Hope,Techno,DJ set,20:45:00,90,Pink,4,Intermediate,3150,3150,2811,82,47,2940,339,93.30,89.17,250656.87,31.40,71139.89,23526.51,7.5,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0021,2012-10-25,7,Red Rock,Red Rock Canyon,Palco Canyon,Horizon Bass Arena,The Hacker,Bass 4,Electro,DJ set,21:00:00,45,Purple,6,Elite,2160,1392,1271,51,35,1357,121,62.80,115.80,147181.80,41.54,41454.49,4275.84,9.7,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0022,2012-10-19,1,Redfoot Ranch,Redfoot Ranch Grounds,Palco Ranch,Horizon Bass Arena,Wolfgang Gartner,Illmerica (Extended Version),Electro House,DJ set,22:15:00,35,Yellow,1,Rookie,6800,5396,4727,205,93,5025,669,73.90,53.67,253698.09,29.80,98098.20,37518.84,8.9,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0023,2012-10-20,2,Gladstone,Gladstone Outpost,Palco Norte,Horizon Pulse,Cut Copy,Need You Now,Indietronica,Festival set,12:30:00,55,Blue,3,Intermediate,4992,4632,4400,153,73,4626,232,92.70,79.40,349360.00,49.20,173139.33,11974.39,7.9,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0024,2012-10-21,3,Redfoot Ranch,Redfoot Ranch Grounds,Palco Ranch,Horizon Pulse,Electric Guest,Awake,Indie Pop,Festival set,13:45:00,60,Orange,5,Advanced,3128,2073,1904,76,29,2009,169,64.20,113.33,215780.32,51.26,60847.36,8033.18,9.0,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0025,2012-10-22,4,Gladstone,Gladstone Outpost,Palco Norte,Horizon Pulse,Empire of the Sun,Walking on a Dream,Synthpop,Festival set,14:00:00,55,Gold,7,Elite/VIP,1152,1017,886,42,18,946,131,82.10,142.04,125847.44,30.81,21668.44,4741.76,9.3,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0026,2012-10-23,5,Redfoot Ranch,Redfoot Ranch Grounds,Palco Ranch,Horizon Pulse,Fixers,Iron Deer Dream (Chad Valley Remix),Indie Electronic,Festival set,15:15:00,55,Green,2,Rookie,6256,4296,4061,103,71,4235,235,67.70,66.08,268350.88,26.38,84062.93,12631.27,7.7,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0027,2012-10-24,6,Gladstone,Gladstone Outpost,Palco Norte,Horizon Pulse,Foster The People,Don't Stop (Color on the Walls),Indie Pop,Festival set,16:30:00,45,Pink,4,Intermediate,4032,2576,2421,52,71,2544,155,63.10,97.38,235756.98,39.30,60817.95,6593.70,9.7,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0028,2012-10-25,7,Redfoot Ranch,Redfoot Ranch Grounds,Palco Ranch,Horizon Pulse,Friendly Fires,Hawaiian Air,Indie Dance,Festival set,17:45:00,45,Purple,6,Elite,2040,2040,1872,106,28,2006,168,98.30,121.02,226549.44,27.10,32041.07,22796.86,8.7,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0029,2012-10-19,1,Montano Plains,Montano Fields,Palco Sunset,Horizon Pulse,Friendly Fires,Hurting,Indie Dance,Festival set,18:00:00,75,Yellow,1,Rookie,11000,8512,7689,371,126,8186,823,74.40,58.63,450806.07,40.03,248296.91,38875.35,9.1,3,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0030,2012-10-20,2,Main Stage,Festival Central,Palco Principal,Horizon Pulse,Hooray for Earth,No Love,Indie Rock,Festival set,19:15:00,75,Blue,3,Intermediate,18720,13031,12141,290,322,12753,890,68.10,84.23,1022636.43,47.19,435246.86,64206.95,8.6,2,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0031,2012-10-21,3,Montano Plains,Montano Fields,Palco Sunset,Horizon Pulse,Hot Chip,Over & Over,Indietronica,Festival set,20:30:00,90,Orange,5,Advanced,5060,5034,4454,116,81,4651,580,91.90,105.90,471678.60,49.44,170480.84,21477.27,8.1,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0032,2012-10-22,4,Main Stage,Festival Central,Palco Principal,Horizon Pulse,Ladyhawke,"Black, White and Blue",Synthpop,Festival set,21:45:00,75,Gold,7,Elite/VIP,4320,3195,3091,165,49,3305,104,76.50,138.51,428134.41,53.75,102917.01,9129.09,8.9,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0033,2012-10-23,5,Montano Plains,Montano Fields,Palco Sunset,Horizon Pulse,Maverick Sabre,Let Me Go,Soul / Pop,Festival set,22:00:00,60,Green,2,Rookie,10120,8800,7671,129,141,7941,1129,78.50,69.20,530833.20,28.32,148845.71,58434.00,7.9,2,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0034,2012-10-24,6,Main Stage,Festival Central,Palco Principal,Horizon Pulse,Miike Snow,Paddling Out,Indie Pop,Festival set,12:15:00,50,Pink,4,Intermediate,15120,11030,9933,149,260,10342,1097,68.40,92.10,914829.30,24.37,171199.83,58296.82,8.0,3,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0035,2012-10-25,7,Montano Plains,Montano Fields,Palco Sunset,Horizon Pulse,Noah and the Whale,Life is Life (Yuksek Remix),Indie Electronic,Festival set,13:30:00,75,Purple,6,Elite,3300,3067,2893,88,39,3020,174,91.50,124.76,360930.68,42.99,69790.27,26626.83,7.7,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0036,2012-10-19,1,Carson,Carson Street Hub,Palco Urbano,Horizon Pulse,Passion Pit,Take A Walk,Indie Pop,Festival set,14:45:00,55,Yellow,1,Rookie,9500,6600,6040,213,155,6408,560,67.50,49.02,296080.80,30.13,126268.89,55875.86,7.8,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0037,2012-10-20,2,Clear Springs,Clear Springs Park,Palco Pulse,Horizon Pulse,Phoenix,1901,Indie Rock,Festival set,15:00:00,45,Blue,3,Intermediate,6396,4553,4212,252,102,4566,341,71.40,82.22,346310.64,29.20,90549.99,38276.68,9.8,2,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0038,2012-10-21,3,Carson,Carson Street Hub,Palco Urbano,Horizon Pulse,Sam and the Womp,Bom Bom,Dance Pop,Festival set,16:15:00,35,Orange,5,Advanced,4370,3150,2968,164,41,3173,182,72.60,104.43,309948.24,38.73,90314.69,10127.80,7.7,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0039,2012-10-22,4,Clear Springs,Clear Springs Park,Palco Pulse,Horizon Pulse,Santigold,Disparate Youth,Alternative Pop,Festival set,17:30:00,35,Gold,7,Elite/VIP,1476,1038,936,37,18,991,102,67.10,141.50,132444.00,54.27,40101.67,9805.94,8.7,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0040,2012-10-23,5,Carson,Carson Street Hub,Palco Urbano,Horizon Pulse,Tesla Boy,Spirit of the Night,Synthpop,Festival set,18:45:00,40,Green,2,Rookie,8740,8034,7441,318,150,7909,593,90.50,65.39,486566.99,43.44,233719.44,93998.29,7.2,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0041,2012-10-24,6,Clear Springs,Clear Springs Park,Palco Pulse,Horizon Pulse,The Maccabees,Pelican,Indie Rock,Festival set,19:00:00,90,Pink,4,Intermediate,5166,5166,4704,239,67,5010,462,97.00,99.56,468330.24,45.25,141100.16,24861.22,8.5,2,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0042,2012-10-25,7,Carson,Carson Street Hub,Palco Urbano,Horizon Pulse,The Naked & Famous,Punching in a Dream,Indie Electronic,Festival set,20:15:00,40,Purple,6,Elite,2850,2705,2489,115,30,2634,216,92.40,124.99,311100.11,33.07,50587.40,28931.21,8.8,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0043,2012-10-19,1,Finley Dam,Finley Dam Deck,Palco Dam,Horizon Pulse,Tom Vek,Aroused,Indie Electronic,Festival set,21:30:00,60,Yellow,1,Rookie,5000,3923,3761,96,60,3917,162,78.30,52.60,197828.60,29.69,63038.14,25426.67,9.2,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0044,2012-10-20,2,Red Rock,Red Rock Canyon,Palco Canyon,Horizon Pulse,Two Door Cinema Club,Something Good Can Work (The Twelves Remix),Indie Dance,Festival set,22:45:00,35,Blue,3,Intermediate,5616,5161,4567,243,66,4876,594,86.80,86.20,393675.40,29.66,86338.85,53492.62,8.9,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0045,2012-10-21,3,Finley Dam,Finley Dam Deck,Palco Dam,Horizon Pulse,Willy Moon,Yeah Yeah,Indie Pop,Festival set,12:00:00,55,Orange,5,Advanced,2300,2152,1917,114,29,2060,235,89.60,107.10,205310.70,24.90,29793.55,18440.81,8.2,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0046,2012-10-22,4,Red Rock,Red Rock Canyon,Palco Canyon,Horizon Rocks,Arctic Monkeys,R U Mine?,Indie Rock,Live set,13:15:00,75,Gold,7,Elite/VIP,1296,1063,1022,47,18,1087,41,83.90,137.29,140310.38,48.15,26440.86,7143.57,8.8,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0047,2012-10-23,5,Finley Dam,Finley Dam Deck,Palco Dam,Horizon Rocks,The Black Keys,Lonely Boy,Blues Rock,Live set,14:30:00,75,Green,2,Rookie,4600,3366,3166,119,52,3337,200,72.50,62.90,199141.40,48.09,97323.99,34810.43,7.4,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0048,2012-10-24,6,Red Rock,Red Rock Canyon,Palco Canyon,Horizon Rocks,Four Year Strong,The Infected,Pop Punk,Live set,15:45:00,35,Pink,4,Intermediate,4536,2913,2549,66,39,2654,364,58.50,97.56,248680.44,51.64,73982.10,7148.84,8.7,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0049,2012-10-25,7,Finley Dam,Finley Dam Deck,Palco Dam,Horizon Rocks,Howler,Back of Your Neck,Indie Rock,Live set,16:00:00,60,Purple,6,Elite,1500,1361,1246,32,22,1300,115,86.70,117.35,146218.10,44.62,40858.13,4664.48,9.2,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0050,2012-10-19,1,Gladstone,Gladstone Outpost,Palco Norte,Horizon Rocks,LCD Soundsystem,Give It Up,Dance Punk,Live set,17:15:00,75,Yellow,1,Rookie,6400,4265,4146,126,94,4366,119,68.20,50.55,209580.30,38.97,85547.73,39559.61,8.3,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0051,2012-10-20,2,Redfoot Ranch,Redfoot Ranch Grounds,Palco Ranch,Horizon Rocks,Lostprophets,Bring Em Down,Alternative Rock,Live set,18:30:00,35,Blue,3,Intermediate,5304,5050,4472,201,48,4721,578,89.00,77.86,348189.92,33.68,93998.17,34494.59,7.8,2,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0052,2012-10-21,3,Gladstone,Gladstone Outpost,Palco Norte,Horizon Rocks,Lostprophets,We Bring An Arsenal,Alternative Rock,Live set,19:45:00,90,Orange,5,Advanced,2944,2866,2762,174,42,2944,104,100.00,110.90,306305.80,37.50,77295.30,34362.37,8.4,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0053,2012-10-22,4,Redfoot Ranch,Redfoot Ranch Grounds,Palco Ranch,Horizon Rocks,Mona,Teenager,Alternative Rock,Live set,20:00:00,55,Gold,7,Elite/VIP,1224,1042,963,35,18,1016,79,83.00,133.51,128570.13,35.21,27201.58,5232.22,7.5,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0054,2012-10-23,5,Gladstone,Gladstone Outpost,Palco Norte,Horizon Rocks,Neon Trees,Animal,Alternative Rock,Live set,21:15:00,60,Green,2,Rookie,5888,5093,4608,146,76,4830,485,82.00,61.55,283622.40,25.18,87486.88,27691.45,9.2,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0055,2012-10-24,6,Redfoot Ranch,Redfoot Ranch Grounds,Palco Ranch,Horizon Rocks,Pulled Apart By Horses,"Wildfire, Smoke & Doom",Alternative Rock,Live set,22:30:00,75,Pink,4,Intermediate,4284,3164,3081,192,37,3310,83,77.30,93.84,289121.04,45.70,103948.08,28585.42,7.3,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0056,2012-10-25,7,Gladstone,Gladstone Outpost,Palco Norte,Horizon Rocks,Silversun Pickups,Lazy Eye,Alternative Rock,Live set,12:45:00,60,Purple,6,Elite,1920,1267,1205,59,21,1285,62,66.90,121.63,146564.15,42.26,32997.95,12318.51,8.0,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0057,2012-10-19,1,Main Stage,Festival Central,Palco Principal,Horizon Rocks,The Duke Spirit,Surrender,Alternative Rock,Live set,13:00:00,40,Yellow,1,Rookie,24000,17675,16766,352,238,17356,909,72.30,55.40,928836.40,46.28,551862.32,74971.66,8.5,3,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0058,2012-10-20,2,Montano Plains,Montano Fields,Palco Sunset,Horizon Rocks,The Enemy,Away from Here,Indie Rock,Live set,14:15:00,50,Blue,3,Intermediate,8580,7494,6708,300,152,7160,786,83.40,77.15,517522.20,31.59,129078.98,66059.42,8.6,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0059,2012-10-21,3,Main Stage,Festival Central,Palco Principal,Horizon Rocks,The Enemy,Had Enough,Indie Rock,Live set,15:30:00,90,Orange,5,Advanced,11040,7103,6707,417,158,7282,396,66.00,102.44,687065.08,24.38,100360.95,51321.97,7.6,3,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0060,2012-10-22,4,Montano Plains,Montano Fields,Palco Sunset,Horizon Rocks,The Hives,Hate To Say I Told You So,Garage Rock,Live set,16:45:00,90,Gold,7,Elite/VIP,1980,1442,1275,26,18,1319,167,66.60,130.04,165801.00,47.11,30825.63,5167.02,8.0,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0061,2012-10-23,5,Main Stage,Festival Central,Palco Principal,Horizon Rocks,The Stone Roses,She Bangs The Drums,Alternative Rock,Live set,17:00:00,50,Green,2,Rookie,22080,22080,21253,1131,310,22080,827,100.00,69.86,1484734.58,30.39,504970.36,117572.79,7.9,4,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0062,2012-10-24,6,Montano Plains,Montano Fields,Palco Sunset,Horizon Rocks,The Subways,Rock & Roll Queen,Indie Rock,Live set,18:15:00,50,Pink,4,Intermediate,6930,5991,5803,365,62,6230,188,89.90,95.76,555695.28,30.40,95521.04,29771.42,8.1,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0063,2012-10-25,7,Main Stage,Festival Central,Palco Principal,Horizon Rocks,TOY,Motoring,PSYCHEDELIC ROCK,Live set,19:30:00,55,Purple,6,Elite,7200,5728,5170,199,59,5428,558,75.40,124.90,645733.00,47.59,159178.30,49015.69,9.5,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0064,2012-10-19,1,Clear Springs,Clear Springs Park,Palco Pulse,Horizon Rocks,Wavves,Bug,Noise Pop,Live set,20:45:00,50,Yellow,1,Rookie,8200,7287,6598,406,100,7104,689,86.60,54.07,356753.86,44.96,232516.77,22579.31,8.8,2,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0065,2012-10-20,2,Carson,Carson Street Hub,Palco Urbano,Horizon Rocks,White Lies,Farewell to the Fairground,Post Punk,Live set,21:00:00,55,Blue,3,Intermediate,7410,6980,6388,188,68,6644,592,89.70,82.80,528926.40,49.62,207742.13,47777.37,8.7,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0066,2012-10-21,3,Clear Springs,Clear Springs Park,Palco Pulse,Horizon Rocks,You Me At Six,Bite My Tongue (feat. Oli Sykes),Post Hardcore,Live set,22:15:00,35,Orange,5,Advanced,3772,3039,2860,78,33,2971,179,78.80,114.99,328871.40,44.84,74716.68,8563.02,8.5,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0067,2012-10-22,4,Carson,Carson Street Hub,Palco Urbano,Horizon Rocks,Yuck,Get Away,Indie Rock,Live set,12:30:00,90,Gold,7,Elite/VIP,1710,1539,1352,32,23,1407,187,82.30,142.57,192754.64,42.17,35748.51,7808.93,8.8,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0068,2012-10-23,5,Clear Springs,Clear Springs Park,Palco Pulse,Horizon Bass Arena,Avicii,Levels (Skrillex Mix),EDM,DJ set,13:45:00,35,Green,2,Rookie,7544,6012,5548,267,90,5905,464,78.30,65.37,362672.76,28.35,96590.70,69187.44,7.9,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0069,2012-10-24,6,Carson,Carson Street Hub,Palco Urbano,Horizon Bass Arena,Azari & III,Reckless (With Your Love),Electro / House,DJ set,14:00:00,50,Pink,4,Intermediate,5985,5985,5422,228,72,5722,563,95.60,94.26,511077.72,41.50,149494.34,38333.90,9.0,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0070,2012-10-25,7,Clear Springs,Clear Springs Park,Palco Pulse,Horizon Bass Arena,Benny Benassi,Cinema (Skrillex Remix),Electro House,DJ set,15:15:00,35,Purple,6,Elite,2460,1663,1571,92,31,1694,92,68.90,128.62,202062.02,44.68,41763.78,6783.78,7.7,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0071,2012-10-19,1,Red Rock,Red Rock Canyon,Palco Canyon,Horizon Bass Arena,Chase & Status,Blind Faith (feat. Liam Bailey),Drum & Bass,DJ set,16:30:00,40,Yellow,1,Rookie,7200,4752,4138,250,90,4478,614,62.20,54.07,223741.66,21.57,73389.04,23611.08,8.3,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0072,2012-10-20,2,Finley Dam,Finley Dam Deck,Palco Dam,Horizon Bass Arena,Chromeo,Hot Mess (Duck Sauce Mix),Electro Funk,DJ set,17:45:00,50,Blue,3,Intermediate,3900,3227,2986,112,36,3134,241,80.40,85.91,256527.26,36.16,84291.22,33559.67,8.3,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0073,2012-10-21,3,Red Rock,Red Rock Canyon,Palco Canyon,Horizon Bass Arena,Digitalism,Encore,Electro,DJ set,18:00:00,55,Orange,5,Advanced,3312,2644,2318,93,53,2464,326,74.40,111.16,257668.88,49.96,80505.51,21607.89,9.0,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
